LA_Nbhd,Income,Schools,Diversity,Age,Homes,Vets,Asian,Black,Latino,White,Population,Area,Longitude,Latitude
Hyde_Park,39460,647,0.5,31,0.31,0.09,0.01,0.66,0.27,0.02,36635,2.9,-118.326308,33.981882
Jefferson_Park,32654,680,0.7,31,0.31,0.08,0.03,0.47,0.45,0.03,23120,1.4,-118.322309,34.027712
Koreatown,30558,740,0.8,30,0.3,0.03,0.32,0.05,0.54,0.07,115070,2.7,-118.300608,34.06381
Lake_Balboa,65336,777,0.8,35,0.35,0.1,0.09,0.04,0.34,0.49,24238,3.1,-118.506817,34.202004
Lake_View_Terrace,67985,746,0.9,31,0.31,0.08,0.05,0.17,0.53,0.22,11803,4.2,-118.363613,34.276501
Larchmont,47780,800,1,34,0.34,0.04,0.3,0.03,0.37,0.25,8631,0.5,-118.318109,34.07901
Leimert_Park,45865,679,0.3,38,0.38,0.11,0.04,0.8,0.11,0.01,11782,1.2,-118.325808,34.011012
Lincoln_Heights,30579,736,0.3,27,0.24,0.03,0.25,0,0.71,0.03,26619,2.5,-118.2157,34.0765
Los_Feliz,50793,723,0.8,36,0.25,0.06,0.13,0.04,0.19,0.58,35238,2.6,-118.29189,34.11107
Manchester_Square,46093,750,0.2,34,0.57,0.11,0,0.79,0.19,0.01,11594,1,-118.30901,33.96731
Mar_Vista,62611,709,0.9,35,0.39,0.08,0.12,0.04,0.29,0.51,35492,2.9,-118.43882,34.01059
Mid_City,43711,780,0.9,31,0.31,0.06,0.04,0.38,0.45,0.1,52197,3.5,-118.36989,34.0395
Mid_Wilshire,58483,739,1,34,0.22,0.06,0.2,0.23,0.2,0.34,41683,2.8,-118.34406,34.06216
Mission_Hills,75675,795,0.8,34,0.78,0.1,0.11,0.04,0.54,0.29,18237,3.2,-118.46738,34.25729
Montecito_Heights,55901,730,0.5,31,0.51,0.05,0.17,0.03,0.66,0.12,16768,2.4,-118.19027,34.09534
Mount_Washington,57725,825,0.7,33,0.55,0.07,0.13,0.03,0.61,0.21,12728,1.9,-118.2169,34.10302
